,Product_Name,Product_Brand,Rating,Old_Price,Current_Price
182,"MOTOROLA Edge 40 Neo (Soothing Sea, 128 GB)  (8 GB RAM)",MOTOROLA,4.4,"₹27,999","₹22,999"
183,"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)  (12 GB RAM)",MOTOROLA,4.3,"₹29,999","₹24,999"
184,itel Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB  (Blue),ITEL,3.9,"₹3,199","₹1,805"
185,"Infinix Note 30 5G (Magic Black, 128 GB)  (4 GB RAM)",INFINIX,4.2,"₹17,999","₹14,499"
186,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)  (12 GB RAM)",MOTOROLA,4.2,"₹22,999","₹18,999"
187,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)",MOTOROLA,4.2,"₹17,999","₹13,999"
188,"realme 11 5G (Glory Gold, 128 GB)  (8 GB RAM)",REALME,4.3,"₹20,999","₹16,999"
189,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)",SAMSUNG,4.3,"₹14,999","₹8,199"
190,None,None,None,None,None
191,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)  (8 GB RAM)",REDMI,5,"₹33,999","₹27,999"
